id,date,user,pc,to,cc,bcc,from,size,attachments
E000032,06/25/2010 10:38:00,mia.thompson,DSK0003,leo.harris@external.com,,,mia.thompson@external.com,13169230,0
E000033,10/03/2010 23:41:00,eve.davis,DSK0002,mia.thompson@partner.com,,,eve.davis@external.com,48687602,4
E000034,10/15/2010 04:31:00,olivia.garcia,DSK0004,mia.thompson@partner.com,,,olivia.garcia@external.com,30465507,0
E000035,06/13/2010 12:35:00,frank.miller,DSK0001,noah.martin@dtaa.com,,,frank.miller@dtaa.com,1798694,0
E000036,04/18/2010 19:39:00,charlie.brown,DSK0001,frank.miller@partner.com,,,charlie.brown@external.com,15019518,0
E000037,01/06/2010 19:51:00,alice.smith,LAP0005,eve.davis@partner.com,karen.green@dtaa.com,,alice.smith@company.com,36265006,0
E000038,07/11/2010 01:21:00,bob.johnson,DSK0003,henry.clark@dtaa.com,,,bob.johnson@external.com,46620017,0
E000039,05/08/2010 02:03:00,leo.harris,LAP0001,peter.robinson@external.com,,,leo.harris@external.com,33832338,6
E000040,10/10/2010 09:29:00,jack.white,LAP0002,jack.white@external.com,,,jack.white@dtaa.com,31326985,0
E000041,06/19/2010 09:53:00,diana.wilson,DSK0002,karen.green@partner.com,grace.taylor@dtaa.com,,diana.wilson@dtaa.com,46068214,2
E000042,05/25/2010 00:00:00,peter.robinson,LAP0001,jack.white@partner.com,karen.green@dtaa.com,,peter.robinson@partner.com,34139440,10
E000043,04/13/2010 11:24:00,jack.white,DSK0004,noah.martin@dtaa.com,,,jack.white@dtaa.com,43392591,0
E000044,05/09/2010 16:28:00,bob.johnson,LAP0001,olivia.garcia@external.com,,,bob.johnson@partner.com,23032818,2
E000045,06/19/2010 22:00:00,jack.white,DSK0003,mia.thompson@partner.com,,,jack.white@company.com,47630442,0
E000046,02/24/2010 04:58:00,grace.taylor,LAP0005,olivia.garcia@partner.com,,,grace.taylor@external.com,15485678,1
E000047,07/12/2010 14:13:00,mia.thompson,LAP0002,henry.clark@dtaa.com,,,mia.thompson@partner.com,32524192,3
E000048,08/06/2010 06:34:00,leo.harris,LAP0003,charlie.brown@company.com,karen.green@dtaa.com,,leo.harris@company.com,30628604,10
E000049,02/14/2010 00:02:00,henry.clark,LAP0004,eve.davis@company.com,henry.clark@dtaa.com,,henry.clark@partner.com,20651821,0
E000050,02/02/2010 23:31:00,charlie.brown,DSK0004,alice.smith@external.com,,,charlie.brown@partner.com,35506853,0
E000051,02/25/2010 14:42:00,alice.smith,LAP0001,henry.clark@external.com,,,alice.smith@partner.com,26541132,0
E000052,06/17/2010 07:54:00,karen.green,LAP0003,alice.smith@company.com,,,karen.green@company.com,847459,4
E000053,05/04/2010 08:17:00,bob.johnson,DSK0004,olivia.garcia@company.com,,,bob.johnson@external.com,23470367,0
E000054,09/23/2010 05:25:00,frank.miller,LAP0003,alice.smith@partner.com,peter.robinson@dtaa.com,,frank.miller@external.com,1930221,0
E000055,05/17/2010 07:09:00,frank.miller,DSK0003,charlie.brown@dtaa.com,,,frank.miller@dtaa.com,3272863,0
E000056,05/21/2010 14:21:00,eve.davis,LAP0004,karen.green@partner.com,henry.clark@dtaa.com,,eve.davis@dtaa.com,5728395,1
E000057,07/15/2010 13:40:00,grace.taylor,LAP0005,iris.lee@company.com,,,grace.taylor@external.com,18911470,0
E000058,12/17/2010 12:17:00,alice.smith,DSK0005,olivia.garcia@partner.com,,,alice.smith@company.com,37525286,4
E000059,02/12/2010 19:00:00,iris.lee,LAP0004,charlie.brown@company.com,eve.davis@dtaa.com,,iris.lee@external.com,42593327,3
E000060,06/13/2010 00:28:00,jack.white,LAP0003,jack.white@external.com,,,jack.white@company.com,45391127,0
E000061,03/15/2010 12:09:00,olivia.garcia,DSK0002,peter.robinson@dtaa.com,,,olivia.garcia@partner.com,47332166,0
E000062,11/03/2010 08:52:00,diana.wilson,DSK0005,alice.smith@company.com,,,diana.wilson@dtaa.com,34380836,0
E000063,10/23/2010 17:43:00,charlie.brown,LAP0005,henry.clark@company.com,,,charlie.brown@partner.com,23759182,10
E000064,03/27/2010 17:05:00,alice.smith,DSK0002,grace.taylor@partner.com,alice.smith@dtaa.com,,alice.smith@dtaa.com,43583440,0
E000065,06/05/2010 16:34:00,bob.johnson,DSK0003,karen.green@external.com,frank.miller@dtaa.com,mia.thompson@dtaa.com,bob.johnson@company.com,38368162,1
E000066,09/08/2010 07:02:00,iris.lee,DSK0004,peter.robinson@company.com,,,iris.lee@partner.com,36986278,2
E000067,06/15/2010 04:33:00,frank.miller,DSK0002,henry.clark@external.com,,,frank.miller@company.com,16944236,0
E000068,02/23/2010 02:43:00,grace.taylor,LAP0002,leo.harris@partner.com,,henry.clark@dtaa.com,grace.taylor@partner.com,47420277,1
E000069,06/26/2010 19:10:00,olivia.garcia,LAP0004,karen.green@partner.com,jack.white@dtaa.com,,olivia.garcia@company.com,33358006,0
E000070,01/30/2010 17:04:00,iris.lee,LAP0004,leo.harris@external.com,,,iris.lee@partner.com,29815974,0
E000071,02/24/2010 17:37:00,diana.wilson,LAP0003,jack.white@external.com,eve.davis@dtaa.com,,diana.wilson@dtaa.com,4500827,0
E000072,09/21/2010 18:35:00,charlie.brown,LAP0004,charlie.brown@partner.com,alice.smith@dtaa.com,,charlie.brown@dtaa.com,40898744,0
E000073,07/29/2010 09:25:00,iris.lee,LAP0004,noah.martin@dtaa.com,,,iris.lee@company.com,7460814,6
E000074,06/08/2010 06:53:00,noah.martin,LAP0004,jack.white@partner.com,,,noah.martin@partner.com,45635388,0
E000075,12/07/2010 22:27:00,jack.white,DSK0005,alice.smith@external.com,,,jack.white@company.com,12926034,1
E000076,05/14/2010 12:47:00,mia.thompson,DSK0001,mia.thompson@partner.com,bob.johnson@dtaa.com,,mia.thompson@partner.com,13220167,0
E000077,06/26/2010 09:07:00,frank.miller,DSK0001,karen.green@company.com,,,frank.miller@dtaa.com,17262582,0
E000078,04/18/2010 06:53:00,iris.lee,LAP0004,frank.miller@partner.com,,,iris.lee@company.com,31013120,0
E000079,01/20/2010 07:00:00,diana.wilson,LAP0001,olivia.garcia@company.com,,,diana.wilson@dtaa.com,27990121,2
E000080,08/18/2010 20:43:00,charlie.brown,DSK0001,grace.taylor@dtaa.com,,,charlie.brown@company.com,4450219,1
E000081,03/21/2010 20:51:00,noah.martin,DSK0005,mia.thompson@dtaa.com,,,noah.martin@company.com,29697804,3
E000082,02/04/2010 02:45:00,peter.robinson,LAP0002,alice.smith@company.com,,noah.martin@dtaa.com,peter.robinson@partner.com,47828407,0
E000083,09/22/2010 11:06:00,alice.smith,LAP0003,henry.clark@external.com,,iris.lee@dtaa.com,alice.smith@partner.com,33506184,1
E000084,11/25/2010 04:35:00,frank.miller,DSK0004,karen.green@external.com,olivia.garcia@dtaa.com,,frank.miller@partner.com,79749142,13
E000085,05/15/2010 23:44:00,karen.green,LAP0001,eve.davis@external.com,,alice.smith@dtaa.com,karen.green@dtaa.com,8894451,1
E000086,08/15/2010 10:15:00,mia.thompson,DSK0004,karen.green@company.com,,,mia.thompson@partner.com,1480091,9
E000087,12/10/2010 20:07:00,grace.taylor,DSK0005,jack.white@dtaa.com,karen.green@dtaa.com,leo.harris@dtaa.com,grace.taylor@partner.com,8495075,0
E000088,11/22/2010 23:32:00,leo.harris,LAP0001,bob.johnson@external.com,,,leo.harris@company.com,727549,0
E000089,02/09/2010 01:11:00,frank.miller,DSK0004,peter.robinson@partner.com,,,frank.miller@company.com,638799,1
E000090,08/15/2010 08:39:00,olivia.garcia,LAP0005,grace.taylor@external.com,,,olivia.garcia@company.com,3000097,1
E000091,08/03/2010 23:19:00,mia.thompson,DSK0001,grace.taylor@partner.com,jack.white@dtaa.com,,mia.thompson@dtaa.com,16327978,1
E000092,03/07/2010 18:49:00,grace.taylor,LAP0002,jack.white@partner.com,karen.green@dtaa.com,,grace.taylor@company.com,43865678,0
E000093,03/22/2010 02:16:00,alice.smith,DSK0002,henry.clark@external.com,,,alice.smith@company.com,8097541,0
E000094,12/26/2010 15:59:00,grace.taylor,LAP0001,eve.davis@company.com,,,grace.taylor@company.com,5245002,0
E000095,08/18/2010 23:10:00,peter.robinson,DSK0005,alice.smith@external.com,,,peter.robinson@partner.com,34664904,0
E000096,07/08/2010 15:28:00,frank.miller,LAP0003,leo.harris@dtaa.com,,,frank.miller@partner.com,34122180,3
E000097,03/04/2010 03:22:00,bob.johnson,DSK0004,peter.robinson@external.com,,,bob.johnson@dtaa.com,20229852,9
E000098,06/27/2010 12:50:00,olivia.garcia,DSK0001,leo.harris@external.com,iris.lee@dtaa.com,,olivia.garcia@partner.com,2782682,1
E000099,06/26/2010 06:38:00,henry.clark,LAP0005,jack.white@external.com,eve.davis@dtaa.com,,henry.clark@external.com,30737113,0
E000100,09/14/2010 04:48:00,peter.robinson,DSK0005,grace.taylor@dtaa.com,,,peter.robinson@dtaa.com,40636141,1
E000101,10/19/2010 23:02:00,diana.wilson,DSK0004,grace.taylor@external.com,,,diana.wilson@partner.com,46584108,0
E000102,05/02/2010 23:29:00,iris.lee,DSK0004,henry.clark@external.com,,,iris.lee@external.com,1486683,1
E000103,07/16/2010 19:04:00,olivia.garcia,DSK0003,charlie.brown@company.com,,,olivia.garcia@partner.com,30116930,0
E000104,02/22/2010 23:46:00,mia.thompson,DSK0003,jack.white@dtaa.com,mia.thompson@dtaa.com,grace.taylor@dtaa.com,mia.thompson@dtaa.com,2189788,1
E000105,05/22/2010 00:07:00,eve.davis,DSK0005,noah.martin@external.com,,,eve.davis@company.com,39971862,3
E000106,05/17/2010 03:39:00,noah.martin,LAP0001,eve.davis@dtaa.com,,,noah.martin@dtaa.com,7724838,5
E000107,06/25/2010 02:35:00,diana.wilson,LAP0002,noah.martin@dtaa.com,,,diana.wilson@external.com,5024556,0
E000108,01/12/2010 03:00:00,jack.white,DSK0003,diana.wilson@external.com,,,jack.white@external.com,39551572,11
E000109,03/04/2010 19:49:00,frank.miller,DSK0005,alice.smith@company.com,,,frank.miller@external.com,30340729,0
E000110,10/07/2010 22:47:00,karen.green,LAP0004,eve.davis@dtaa.com,,,karen.green@external.com,15480216,1
E000111,05/24/2010 08:49:00,karen.green,LAP0003,henry.clark@external.com,henry.clark@dtaa.com,,karen.green@company.com,37028852,3
E000112,11/13/2010 11:25:00,diana.wilson,DSK0002,grace.taylor@dtaa.com,,,diana.wilson@partner.com,25869906,10
E000113,07/15/2010 05:11:00,karen.green,LAP0005,mia.thompson@company.com,eve.davis@dtaa.com,,karen.green@external.com,25867332,3
E000114,06/27/2010 14:07:00,leo.harris,DSK0001,grace.taylor@external.com,,,leo.harris@dtaa.com,37343244,8
E000115,07/04/2010 20:34:00,jack.white,LAP0003,alice.smith@external.com,,,jack.white@dtaa.com,21660522,0
E000116,10/04/2010 21:40:00,peter.robinson,DSK0003,henry.clark@external.com,leo.harris@dtaa.com,,peter.robinson@partner.com,44521846,2
E000117,02/17/2010 04:03:00,mia.thompson,LAP0002,jack.white@external.com,,,mia.thompson@external.com,31850412,5
E000118,12/22/2010 03:51:00,peter.robinson,DSK0002,leo.harris@external.com,,,peter.robinson@external.com,25696564,1
E000119,07/20/2010 12:12:00,frank.miller,DSK0002,charlie.brown@external.com,grace.taylor@dtaa.com,,frank.miller@company.com,14704736,10
E000120,12/18/2010 04:50:00,bob.johnson,DSK0004,peter.robinson@external.com,alice.smith@dtaa.com,,bob.johnson@dtaa.com,45879294,0
E000121,03/18/2010 02:37:00,leo.harris,DSK0003,iris.lee@partner.com,,,leo.harris@dtaa.com,6816077,0
E000122,10/07/2010 06:19:00,charlie.brown,DSK0003,henry.clark@dtaa.com,,,charlie.brown@dtaa.com,37050517,0
E000123,01/24/2010 19:07:00,noah.martin,LAP0001,alice.smith@dtaa.com,,,noah.martin@dtaa.com,46051783,6
E000124,10/28/2010 21:35:00,diana.wilson,LAP0004,eve.davis@external.com,mia.thompson@dtaa.com,,diana.wilson@external.com,88681914,0
E000125,07/24/2010 20:54:00,olivia.garcia,LAP0002,iris.lee@partner.com,,,olivia.garcia@dtaa.com,45445954,1
E000126,11/16/2010 05:32:00,jack.white,DSK0003,charlie.brown@company.com,,,jack.white@external.com,41517708,0
E000127,07/02/2010 02:56:00,leo.harris,LAP0001,frank.miller@partner.com,,,leo.harris@partner.com,41293212,0
E000128,05/27/2010 18:54:00,charlie.brown,LAP0002,grace.taylor@partner.com,diana.wilson@dtaa.com,,charlie.brown@external.com,32705298,0
E000129,02/26/2010 21:10:00,peter.robinson,LAP0004,henry.clark@company.com,,,peter.robinson@external.com,40120876,1
E000130,09/29/2010 12:45:00,charlie.brown,DSK0003,diana.wilson@external.com,,,charlie.brown@external.com,3947670,2
E000131,02/03/2010 23:56:00,iris.lee,DSK0003,frank.miller@external.com,,,iris.lee@company.com,37779668,1
E000132,12/20/2010 00:34:00,grace.taylor,LAP0005,diana.wilson@external.com,grace.taylor@dtaa.com,,grace.taylor@external.com,36968682,0
E000133,03/21/2010 13:31:00,leo.harris,LAP0001,peter.robinson@dtaa.com,,,leo.harris@company.com,21698220,3
E000134,04/02/2010 12:36:00,eve.davis,LAP0004,peter.robinson@dtaa.com,eve.davis@dtaa.com,eve.davis@dtaa.com,eve.davis@company.com,32581964,0
E000135,04/22/2010 10:29:00,olivia.garcia,LAP0004,olivia.garcia@partner.com,noah.martin@dtaa.com,grace.taylor@dtaa.com,olivia.garcia@partner.com,1638632,3
E000136,03/26/2010 16:17:00,eve.davis,DSK0003,alice.smith@dtaa.com,,,eve.davis@company.com,1634498,0
E000137,03/06/2010 13:58:00,eve.davis,DSK0004,peter.robinson@dtaa.com,,,eve.davis@external.com,45166057,2
E000138,05/11/2010 14:32:00,karen.green,DSK0001,bob.johnson@dtaa.com,peter.robinson@dtaa.com,,karen.green@external.com,35191827,0
E000139,02/08/2010 00:17:00,karen.green,DSK0004,grace.taylor@dtaa.com,grace.taylor@dtaa.com,,karen.green@dtaa.com,19095487,3
E000140,07/16/2010 17:32:00,leo.harris,LAP0001,noah.martin@external.com,,,leo.harris@external.com,5742261,5
E000141,04/27/2010 12:01:00,mia.thompson,DSK0001,alice.smith@external.com,grace.taylor@dtaa.com,,mia.thompson@dtaa.com,26270239,0
E000142,08/25/2010 16:41:00,olivia.garcia,LAP0002,leo.harris@external.com,,,olivia.garcia@external.com,11395249,0
E000143,12/21/2010 22:16:00,noah.martin,LAP0002,frank.miller@external.com,,,noah.martin@company.com,49145893,0
E000144,07/23/2010 08:23:00,alice.smith,DSK0004,alice.smith@company.com,eve.davis@dtaa.com,,alice.smith@company.com,48266695,0
E000145,03/29/2010 17:12:00,charlie.brown,LAP0002,bob.johnson@external.com,,,charlie.brown@company.com,42620636,10
E000146,01/20/2010 02:29:00,alice.smith,DSK0003,bob.johnson@company.com,,,alice.smith@company.com,4368854,0
E000147,12/24/2010 12:26:00,bob.johnson,LAP0001,frank.miller@company.com,,,bob.johnson@partner.com,7802270,1
E000148,01/18/2010 15:16:00,charlie.brown,LAP0005,mia.thompson@partner.com,karen.green@dtaa.com,,charlie.brown@external.com,87839838,3
E000149,03/25/2010 14:50:00,eve.davis,DSK0003,leo.harris@external.com,,,eve.davis@dtaa.com,18984561,1
E000150,09/17/2010 16:34:00,iris.lee,LAP0001,mia.thompson@external.com,,,iris.lee@external.com,34191063,1
E000151,01/20/2010 20:51:00,bob.johnson,LAP0001,alice.smith@dtaa.com,,,bob.johnson@dtaa.com,6344580,3
E000152,02/08/2010 07:44:00,iris.lee,LAP0001,bob.johnson@dtaa.com,,,iris.lee@company.com,35060357,0
E000153,02/03/2010 23:23:00,charlie.brown,LAP0003,mia.thompson@company.com,peter.robinson@dtaa.com,,charlie.brown@external.com,36375529,0
E000154,05/12/2010 03:09:00,eve.davis,DSK0002,alice.smith@partner.com,,,eve.davis@partner.com,33509425,3
E000155,01/21/2010 09:40:00,iris.lee,DSK0001,noah.martin@dtaa.com,,,iris.lee@dtaa.com,17597993,0
E000156,02/28/2010 11:47:00,iris.lee,DSK0001,frank.miller@partner.com,,,iris.lee@company.com,47311007,2
E000157,11/13/2010 20:37:00,bob.johnson,DSK0002,charlie.brown@external.com,jack.white@dtaa.com,,bob.johnson@external.com,37679350,1
E000158,02/09/2010 08:45:00,olivia.garcia,DSK0001,jack.white@partner.com,,,olivia.garcia@dtaa.com,32376485,0
E000159,03/31/2010 22:16:00,charlie.brown,DSK0001,noah.martin@external.com,eve.davis@dtaa.com,bob.johnson@dtaa.com,charlie.brown@company.com,38794801,0
E000160,09/13/2010 12:52:00,karen.green,LAP0005,frank.miller@external.com,henry.clark@dtaa.com,,karen.green@dtaa.com,9612146,1
E000161,01/06/2010 19:28:00,peter.robinson,DSK0005,noah.martin@partner.com,,,peter.robinson@partner.com,7682504,3
E000162,10/13/2010 08:24:00,noah.martin,DSK0004,henry.clark@external.com,,,noah.martin@external.com,14442000,0
E000163,01/28/2010 20:57:00,peter.robinson,DSK0004,henry.clark@partner.com,,,peter.robinson@company.com,19971591,5
E000164,09/22/2010 07:53:00,iris.lee,DSK0004,charlie.brown@partner.com,,,iris.lee@external.com,23320612,3
E000165,02/04/2010 07:23:00,jack.white,DSK0002,jack.white@company.com,,,jack.white@partner.com,25512526,2
E000166,02/09/2010 09:48:00,noah.martin,DSK0002,diana.wilson@partner.com,,,noah.martin@company.com,5145733,9
E000167,02/23/2010 08:07:00,leo.harris,DSK0004,karen.green@partner.com,jack.white@dtaa.com,,leo.harris@partner.com,3410704,2
E000168,01/09/2010 11:25:00,charlie.brown,DSK0001,olivia.garcia@company.com,,,charlie.brown@dtaa.com,30660979,3
E000169,06/14/2010 23:11:00,peter.robinson,LAP0005,jack.white@external.com,,,peter.robinson@dtaa.com,29765351,0
E000170,09/28/2010 01:35:00,noah.martin,LAP0001,leo.harris@external.com,mia.thompson@dtaa.com,henry.clark@dtaa.com,noah.martin@company.com,43405529,1
E000171,11/08/2010 16:18:00,jack.white,DSK0005,karen.green@external.com,,,jack.white@external.com,16443687,13
E000172,09/01/2010 06:33:00,olivia.garcia,DSK0001,karen.green@external.com,,,olivia.garcia@partner.com,44055090,0
E000173,07/01/2010 17:53:00,henry.clark,DSK0003,bob.johnson@company.com,,,henry.clark@external.com,41025338,2
E000174,04/24/2010 14:10:00,alice.smith,DSK0005,diana.wilson@company.com,,,alice.smith@dtaa.com,49157031,2
E000175,06/16/2010 09:33:00,charlie.brown,DSK0001,mia.thompson@partner.com,leo.harris@dtaa.com,olivia.garcia@dtaa.com,charlie.brown@dtaa.com,16410974,0
E000176,02/13/2010 21:07:00,noah.martin,DSK0005,alice.smith@company.com,leo.harris@dtaa.com,,noah.martin@partner.com,22561879,0
E000177,03/06/2010 01:40:00,charlie.brown,LAP0004,bob.johnson@partner.com,grace.taylor@dtaa.com,,charlie.brown@external.com,77362039,5
E000178,11/02/2010 16:48:00,olivia.garcia,DSK0002,peter.robinson@company.com,grace.taylor@dtaa.com,,olivia.garcia@dtaa.com,20170606,0
E000179,04/02/2010 15:21:00,leo.harris,DSK0002,karen.green@dtaa.com,,,leo.harris@dtaa.com,4585238,0
E000180,02/26/2010 17:01:00,frank.miller,LAP0002,iris.lee@company.com,alice.smith@dtaa.com,,frank.miller@partner.com,16046417,0
E000181,02/18/2010 00:39:00,alice.smith,DSK0005,olivia.garcia@external.com,frank.miller@dtaa.com,,alice.smith@partner.com,5544500,0
E000182,03/21/2010 19:00:00,henry.clark,DSK0001,jack.white@dtaa.com,,olivia.garcia@dtaa.com,henry.clark@external.com,11608825,1
E000183,05/21/2010 07:10:00,grace.taylor,LAP0005,jack.white@dtaa.com,olivia.garcia@dtaa.com,,grace.taylor@company.com,22220785,1
E000184,07/10/2010 16:57:00,noah.martin,DSK0005,iris.lee@partner.com,,,noah.martin@partner.com,40053602,1
E000185,03/17/2010 16:29:00,karen.green,LAP0002,mia.thompson@external.com,,,karen.green@dtaa.com,19928169,0
E000186,04/05/2010 10:16:00,bob.johnson,LAP0001,frank.miller@external.com,,,bob.johnson@company.com,16857758,7
E000187,04/01/2010 02:44:00,charlie.brown,LAP0001,bob.johnson@dtaa.com,,alice.smith@dtaa.com,charlie.brown@dtaa.com,8711995,1
E000188,04/26/2010 06:16:00,jack.white,LAP0001,mia.thompson@company.com,charlie.brown@dtaa.com,,jack.white@dtaa.com,641325,0
E000189,03/06/2010 11:51:00,peter.robinson,LAP0002,olivia.garcia@partner.com,peter.robinson@dtaa.com,,peter.robinson@dtaa.com,22020408,1
E000190,05/08/2010 14:13:00,charlie.brown,LAP0001,noah.martin@company.com,,,charlie.brown@dtaa.com,35888285,1
E000191,10/05/2010 21:59:00,alice.smith,LAP0005,karen.green@external.com,,,alice.smith@dtaa.com,853223,0
E000192,05/25/2010 21:06:00,karen.green,DSK0001,iris.lee@dtaa.com,,,karen.green@dtaa.com,33412616,5
E000193,10/06/2010 10:15:00,mia.thompson,LAP0001,olivia.garcia@dtaa.com,,,mia.thompson@external.com,28270570,1
E000194,11/24/2010 13:02:00,iris.lee,DSK0005,noah.martin@company.com,,jack.white@dtaa.com,iris.lee@dtaa.com,33045265,1
E000195,10/10/2010 13:23:00,henry.clark,LAP0002,peter.robinson@dtaa.com,,,henry.clark@company.com,25641839,1
E000196,07/30/2010 09:02:00,noah.martin,LAP0004,olivia.garcia@company.com,,,noah.martin@company.com,18097392,2
E000197,07/03/2010 09:31:00,leo.harris,LAP0003,eve.davis@company.com,,alice.smith@dtaa.com,leo.harris@partner.com,46034381,9
E000198,10/23/2010 01:13:00,charlie.brown,DSK0005,mia.thompson@external.com,,,charlie.brown@dtaa.com,25832257,0
E000199,12/16/2010 04:58:00,peter.robinson,DSK0005,noah.martin@partner.com,,,peter.robinson@dtaa.com,6781812,0
E000200,02/04/2010 17:34:00,karen.green,LAP0004,mia.thompson@partner.com,,,karen.green@dtaa.com,8308807,1
E000201,11/17/2010 06:26:00,mia.thompson,LAP0001,peter.robinson@external.com,,,mia.thompson@dtaa.com,21546676,0
E000202,04/29/2010 16:20:00,bob.johnson,LAP0002,charlie.brown@dtaa.com,bob.johnson@dtaa.com,,bob.johnson@dtaa.com,13970306,2
E000203,09/17/2010 18:49:00,alice.smith,DSK0003,jack.white@company.com,,,alice.smith@company.com,25698841,0
E000204,02/12/2010 15:58:00,grace.taylor,DSK0005,karen.green@company.com,iris.lee@dtaa.com,,grace.taylor@partner.com,47899669,0
E000205,07/25/2010 15:22:00,diana.wilson,DSK0004,charlie.brown@dtaa.com,,,diana.wilson@company.com,45025025,0
E000206,09/30/2010 00:23:00,olivia.garcia,LAP0002,leo.harris@dtaa.com,alice.smith@dtaa.com,,olivia.garcia@company.com,48475410,3
E000207,07/26/2010 02:46:00,henry.clark,DSK0002,mia.thompson@dtaa.com,mia.thompson@dtaa.com,,henry.clark@company.com,5872844,0
E000208,07/30/2010 03:16:00,eve.davis,DSK0003,olivia.garcia@partner.com,eve.davis@dtaa.com,,eve.davis@external.com,16747852,1
E000209,01/13/2010 08:47:00,karen.green,LAP0004,eve.davis@dtaa.com,,,karen.green@external.com,61199672,11
E000210,08/28/2010 17:02:00,peter.robinson,LAP0002,mia.thompson@dtaa.com,iris.lee@dtaa.com,,peter.robinson@partner.com,19545560,2
E000211,12/26/2010 20:09:00,bob.johnson,DSK0003,diana.wilson@dtaa.com,,,bob.johnson@dtaa.com,30433110,1
E000212,12/13/2010 21:44:00,iris.lee,DSK0002,karen.green@dtaa.com,mia.thompson@dtaa.com,grace.taylor@dtaa.com,iris.lee@company.com,21590430,1
